Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.014603,0,-0.002814,-0.002814
2,0.01438,0,-0.003037,-0.005852
3,0.014588,0,-0.00283,-0.008682
4,0.014544,0,-0.002874,-0.011556
5,0.014565,0,-0.002852,-0.014408
6,0.014555,0,-0.002863,-0.017271
7,0.014512,0,-0.002906,-0.020177
8,0.014437,0,-0.002981,-0.023158
9,0.014467,0,-0.00295,-0.026109
10,0.014648,0,-0.00277,-0.028879
11,0.014623,0,-0.002795,-0.031673
12,0.014629,0,-0.002788,-0.034462
13,0.014477,0,-0.002941,-0.037402
14,0.014813,0,-0.002605,-0.040008
15,0.014393,0,-0.003025,-0.043033
16,0.014556,0,-0.002862,-0.045894
17,0.014469,0,-0.002949,-0.048843
18,0.014468,0,-0.002949,-0.051793
19,0.014574,0,-0.002844,-0.054637
20,0.014426,0,-0.002992,-0.057629
21,0.014483,0,-0.002934,-0.060563
22,0.014441,0,-0.002976,-0.063539
23,0.014651,0,-0.002767,-0.066306
24,0.014476,0,-0.002942,-0.069248
25,0.014575,0,-0.002843,-0.072091
26,0.014457,0,-0.00296,-0.075051
27,0.014561,0,-0.002856,-0.077908
28,0.014469,0,-0.002948,-0.080856
29,0.014475,0,-0.002943,-0.083799
30,0.014762,0,-0.002656,-0.086454
31,0.014564,0,-0.002854,-0.089308
32,0.014467,0,-0.002951,-0.092259
33,0.01446,0,-0.002958,-0.095217
34,0.014841,0,-0.002577,-0.097793
35,0.014484,0,-0.002933,-0.100727
36,0.01467,0,-0.002748,-0.103474
37,0.01456,0,-0.002857,-0.106332
38,0.01452,0,-0.002898,-0.10923
39,0.07519,0.057772,0,-0.051457
40,0.014645,0,-0.002773,-0.05423
41,0.014581,0,-0.002837,-0.057067
42,0.014515,0,-0.002903,-0.05997
43,0.014712,0,-0.002705,-0.062675
44,0.01448,0,-0.002938,-0.065613
45,0.014416,0,-0.003001,-0.068614
46,0.01452,0,-0.002897,-0.071512
47,0.014482,0,-0.002936,-0.074447
48,0.014513,0,-0.002905,-0.077352
49,0.014468,0,-0.00295,-0.080302
50,0.014496,0,-0.002921,-0.083223
51,0.014502,0,-0.002915,-0.086139
52,0.014547,0,-0.00287,-0.089009
53,0.014476,0,-0.002941,-0.091951
54,0.01455,0,-0.002868,-0.094818
55,0.014604,0,-0.002814,-0.097632
56,0.014459,0,-0.002958,-0.10059
57,0.014503,0,-0.002914,-0.103504
58,0.014545,0,-0.002873,-0.106378
59,0.014538,0,-0.00288,-0.109258
60,0.014491,0,-0.002927,-0.112184
61,0.014518,0,-0.0029,-0.115084
62,0.014382,0,-0.003036,-0.11812
63,0.014772,0,-0.002645,-0.120766
64,0.014479,0,-0.002939,-0.123704
65,0.014585,0,-0.002833,-0.126537
66,0.014409,0,-0.003008,-0.129545
67,0.014688,0,-0.002729,-0.132275
68,0.014418,0,-0.003,-0.135275
69,0.014469,0,-0.002949,-0.138223
70,0.014509,0,-0.002909,-0.141132
71,0.014423,0,-0.002994,-0.144126
72,0.014428,0,-0.002989,-0.147116
73,0.014476,0,-0.002941,-0.150057
74,0.014544,0,-0.002874,-0.152931
75,0.014713,0,-0.002704,-0.155635
76,0.014588,0,-0.002829,-0.158465
77,0.014631,0,-0.002787,-0.161251
78,0.014409,0,-0.003009,-0.16426
79,0.01472,0,-0.002698,-0.166958
80,0.014429,0,-0.002988,-0.169946
81,0.014594,0,-0.002824,-0.17277
82,0.014503,0,-0.002914,-0.175684
83,0.014616,0,-0.002801,-0.178485
84,0.014502,0,-0.002916,-0.181401
85,0.014406,0,-0.003011,-0.184412
86,0.014667,0,-0.002751,-0.187163
87,0.014428,0,-0.00299,-0.190153
88,0.014684,0,-0.002733,-0.192886
89,0.05052,0.033102,0,-0.159784
90,0.014555,0,-0.002862,-0.162647
91,0.014567,0,-0.002851,-0.165497
92,0.014517,0,-0.002901,-0.168398
93,0.014509,0,-0.002909,-0.171307
94,0.014611,0,-0.002806,-0.174113
95,0.014523,0,-0.002895,-0.177008
96,0.014762,0,-0.002656,-0.179664
97,0.014515,0,-0.002903,-0.182567
98,0.014783,0,-0.002635,-0.185202
99,0.014744,0,-0.002674,-0.187876
100,0.014609,0,-0.002809,-0.190684
