Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.00549,0,-0.00106,-0.00106
2,0.005379,0,-0.001171,-0.002231
3,0.005484,0,-0.001066,-0.003297
4,0.005464,0,-0.001086,-0.004383
5,0.005506,0,-0.001045,-0.005428
6,0.005566,0,-0.000985,-0.006413
7,0.005525,0,-0.001025,-0.007438
8,0.005489,0,-0.001062,-0.0085
9,0.005499,0,-0.001052,-0.009551
10,0.005499,0,-0.001051,-0.010603
11,0.005464,0,-0.001086,-0.011689
12,0.005612,0,-0.000939,-0.012628
13,0.00557,0,-0.00098,-0.013608
14,0.005559,0,-0.000991,-0.014599
15,0.005515,0,-0.001035,-0.015634
16,0.005492,0,-0.001058,-0.016692
17,0.005525,0,-0.001026,-0.017718
18,0.005628,0,-0.000922,-0.01864
19,0.005475,0,-0.001075,-0.019715
20,0.005584,0,-0.000966,-0.020681
21,0.005573,0,-0.000977,-0.021658
22,0.005553,0,-0.000997,-0.022656
23,0.00555,0,-0.001,-0.023655
24,0.00545,0,-0.001101,-0.024756
25,0.005425,0,-0.001125,-0.025882
26,0.005494,0,-0.001056,-0.026938
27,0.005511,0,-0.001039,-0.027976
28,0.005604,0,-0.000947,-0.028923
29,0.005512,0,-0.001038,-0.029961
30,0.005524,0,-0.001026,-0.030987
31,0.005525,0,-0.001025,-0.032012
32,0.005459,0,-0.001092,-0.033104
33,0.005474,0,-0.001076,-0.03418
34,0.005583,0,-0.000967,-0.035148
35,0.005544,0,-0.001006,-0.036154
36,0.005473,0,-0.001077,-0.037231
37,0.005473,0,-0.001077,-0.038308
38,0.005545,0,-0.001005,-0.039313
39,0.005522,0,-0.001029,-0.040342
40,0.005555,0,-0.000996,-0.041338
41,0.0055,0,-0.001051,-0.042388
42,0.00537,0,-0.00118,-0.043568
43,0.005535,0,-0.001016,-0.044584
44,0.005463,0,-0.001088,-0.045672
45,0.005402,0,-0.001149,-0.04682
46,0.005515,0,-0.001036,-0.047856
47,0.005551,0,-0.000999,-0.048856
48,0.005508,0,-0.001043,-0.049898
49,0.005573,0,-0.000977,-0.050876
50,0.005479,0,-0.001071,-0.051947
51,0.005474,0,-0.001076,-0.053024
52,0.005464,0,-0.001086,-0.054109
53,0.005602,0,-0.000948,-0.055057
54,0.005542,0,-0.001008,-0.056065
55,0.005545,0,-0.001006,-0.057071
56,0.005538,0,-0.001012,-0.058083
57,0.00548,0,-0.00107,-0.059154
58,0.005526,0,-0.001024,-0.060178
59,0.005517,0,-0.001034,-0.061211
60,0.005601,0,-0.00095,-0.062161
61,0.00548,0,-0.00107,-0.063232
62,0.005592,0,-0.000958,-0.06419
63,0.005568,0,-0.000983,-0.065172
64,0.005501,0,-0.001049,-0.066222
65,0.005683,0,-0.000867,-0.067089
66,0.005563,0,-0.000988,-0.068076
67,0.005496,0,-0.001055,-0.069131
68,0.005508,0,-0.001042,-0.070173
69,0.005595,0,-0.000955,-0.071128
70,0.005485,0,-0.001065,-0.072193
71,0.005567,0,-0.000983,-0.073177
72,0.005527,0,-0.001023,-0.0742
73,0.005518,0,-0.001033,-0.075233
74,0.0055,0,-0.00105,-0.076283
75,0.005607,0,-0.000943,-0.077225
76,0.005554,0,-0.000996,-0.078222
77,0.005539,0,-0.001012,-0.079233
78,0.005521,0,-0.00103,-0.080263
79,0.005619,0,-0.000932,-0.081195
80,0.005549,0,-0.001001,-0.082196
81,0.005406,0,-0.001144,-0.08334
82,0.005541,0,-0.00101,-0.08435
83,0.005644,0,-0.000906,-0.085256
84,0.005534,0,-0.001017,-0.086273
85,0.005519,0,-0.001031,-0.087304
86,0.005505,0,-0.001046,-0.088349
87,0.005648,0,-0.000902,-0.089251
88,0.005472,0,-0.001078,-0.090329
89,0.005578,0,-0.000973,-0.091302
90,0.005538,0,-0.001012,-0.092314
91,0.005512,0,-0.001038,-0.093352
92,0.005479,0,-0.001072,-0.094424
93,0.005502,0,-0.001049,-0.095472
94,0.005591,0,-0.000959,-0.096432
95,0.005521,0,-0.00103,-0.097461
96,0.005502,0,-0.001048,-0.098509
97,0.005502,0,-0.001048,-0.099557
98,0.00556,0,-0.000991,-0.100548
99,0.005542,0,-0.001008,-0.101556
100,0.005577,0,-0.000974,-0.10253
