Sr.No,Time_Per_Frame,Positive Jitter,Negative Jitter,Total Jitter
1,0.273888,0,-0.054673,-0.054673
2,0.273739,0,-0.054822,-0.109494
3,0.27384,0,-0.054721,-0.164216
4,0.273724,0,-0.054837,-0.219053
5,0.273771,0,-0.05479,-0.273842
6,0.273812,0,-0.054749,-0.328591
7,0.273682,0,-0.054879,-0.38347
8,0.273695,0,-0.054866,-0.438337
9,0.273732,0,-0.054828,-0.493165
10,0.273743,0,-0.054818,-0.547983
11,0.273652,0,-0.054908,-0.602892
12,0.273695,0,-0.054866,-0.657757
13,0.273923,0,-0.054638,-0.712395
14,0.273883,0,-0.054678,-0.767073
15,0.273996,0,-0.054565,-0.821638
16,0.274138,0,-0.054423,-0.876061
17,0.273961,0,-0.0546,-0.930661
18,0.273802,0,-0.054759,-0.98542
19,0.274257,0,-0.054304,-1.039724
20,0.273857,0,-0.054704,-1.094428
21,0.273843,0,-0.054718,-1.149146
22,0.274183,0,-0.054378,-1.203524
23,0.273597,0,-0.054964,-1.258488
24,0.273804,0,-0.054756,-1.313244
25,0.273685,0,-0.054876,-1.36812
26,0.27346,0,-0.0551,-1.423221
27,0.273508,0,-0.055053,-1.478274
28,0.273421,0,-0.05514,-1.533414
29,0.273972,0,-0.054589,-1.588002
30,0.273933,0,-0.054628,-1.64263
31,0.273878,0,-0.054683,-1.697313
32,0.273791,0,-0.05477,-1.752083
33,0.274127,0,-0.054434,-1.806516
34,0.273732,0,-0.054828,-1.861345
35,0.273837,0,-0.054724,-1.916069
36,0.273606,0,-0.054955,-1.971024
37,0.27365,0,-0.054911,-2.025935
38,0.273583,0,-0.054978,-2.080913
39,0.273786,0,-0.054775,-2.135688
40,0.273835,0,-0.054726,-2.190413
41,0.274001,0,-0.05456,-2.244973
42,0.273811,0,-0.054749,-2.299723
43,0.273935,0,-0.054625,-2.354348
44,0.274045,0,-0.054516,-2.408864
45,0.274051,0,-0.054509,-2.463373
46,0.273805,0,-0.054756,-2.518129
47,0.27393,0,-0.054631,-2.57276
48,0.273758,0,-0.054803,-2.627563
49,0.273927,0,-0.054633,-2.682196
50,0.274002,0,-0.054558,-2.736755
51,0.27388,0,-0.054681,-2.791435
52,0.27378,0,-0.054781,-2.846217
53,0.273713,0,-0.054848,-2.901064
54,0.273823,0,-0.054737,-2.955802
55,0.273707,0,-0.054854,-3.010656
56,0.27385,0,-0.054711,-3.065366
57,0.27373,0,-0.054831,-3.120197
58,0.273872,0,-0.054688,-3.174886
59,0.273737,0,-0.054824,-3.229709
60,0.273969,0,-0.054591,-3.284301
61,0.273919,0,-0.054642,-3.338942
62,0.273943,0,-0.054618,-3.393561
63,0.273761,0,-0.0548,-3.448361
64,0.273724,0,-0.054836,-3.503197
65,0.273916,0,-0.054645,-3.557842
66,0.274023,0,-0.054538,-3.61238
67,0.273741,0,-0.05482,-3.6672
68,0.273891,0,-0.05467,-3.72187
69,0.273864,0,-0.054697,-3.776567
70,0.273656,0,-0.054905,-3.831472
71,0.273903,0,-0.054658,-3.88613
72,0.273712,0,-0.054849,-3.940979
73,0.27378,0,-0.054781,-3.99576
74,0.27383,0,-0.054731,-4.050491
75,0.273823,0,-0.054738,-4.105228
76,0.273734,0,-0.054827,-4.160056
77,0.27389,0,-0.054671,-4.214727
78,0.273914,0,-0.054647,-4.269373
79,0.273872,0,-0.054689,-4.324062
80,0.273929,0,-0.054632,-4.378695
81,0.273731,0,-0.05483,-4.433524
82,0.273724,0,-0.054837,-4.488361
83,0.27384,0,-0.054721,-4.543082
84,0.273816,0,-0.054745,-4.597827
85,0.273978,0,-0.054583,-4.65241
86,0.273865,0,-0.054696,-4.707106
87,0.273853,0,-0.054708,-4.761813
88,0.273729,0,-0.054832,-4.816645
89,0.273934,0,-0.054626,-4.871272
90,0.273713,0,-0.054847,-4.926119
91,0.273836,0,-0.054725,-4.980844
92,0.274106,0,-0.054455,-5.035298
93,0.274239,0,-0.054322,-5.089621
94,0.273785,0,-0.054776,-5.144397
95,0.273797,0,-0.054764,-5.199161
96,0.273818,0,-0.054743,-5.253904
97,0.273793,0,-0.054767,-5.308671
98,0.273862,0,-0.054699,-5.36337
99,0.273731,0,-0.05483,-5.4182
100,0.273804,0,-0.054757,-5.472957
