S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
0,1566078274.307905,1566078274.323410,15.504837,0.000000
1,1566078274.407878,1566078274.422692,14.814615,-0.099973
2,1566078274.507822,1566078274.522608,14.785528,-0.099945
3,1566078274.607819,1566078274.622614,14.795065,-0.099997
4,1566078274.707877,1566078274.722662,14.784575,-0.100058
5,1566078274.807873,1566078274.822677,14.804125,-0.099995
6,1566078274.907831,1566078274.922611,14.780045,-0.099959
7,1566078275.007873,1566078275.022661,14.788151,-0.100042
8,1566078275.107826,1566078275.122604,14.778376,-0.099952
9,1566078275.207837,1566078275.222625,14.788151,-0.100011
10,1566078275.307823,1566078275.322678,14.854670,-0.099987
11,1566078275.407834,1566078275.422724,14.890671,-0.100010
12,1566078275.507870,1566078275.522648,14.777899,-0.100037
13,1566078275.607825,1566078275.622600,14.775515,-0.099954
14,1566078275.707824,1566078275.722709,14.884710,-0.100000
15,1566078275.807879,1566078275.822670,14.790773,-0.100055
16,1566078275.907824,1566078275.922610,14.786482,-0.099944
17,1566078276.007894,1566078276.022753,14.859200,-0.100070
18,1566078276.107881,1566078276.122670,14.788628,-0.099988
19,1566078276.207837,1566078276.222724,14.887094,-0.099956
20,1566078276.307819,1566078276.322762,14.943123,-0.099981
21,1566078276.407825,1566078276.422741,14.916658,-0.100006
22,1566078276.507875,1566078276.522663,14.787674,-0.100050
23,1566078276.607834,1566078276.622635,14.801502,-0.099959
24,1566078276.707825,1566078276.722671,14.845848,-0.099992
25,1566078276.807830,1566078276.822598,14.768124,-0.100004
26,1566078276.907827,1566078276.922671,14.844418,-0.099997
27,1566078277.007824,1566078277.022725,14.900446,-0.099998
28,1566078277.107875,1566078277.122641,14.766216,-0.100050
29,1566078277.207830,1566078277.222624,14.793873,-0.099956
30,1566078277.307828,1566078277.322761,14.932632,-0.099998
31,1566078277.407824,1566078277.422711,14.887571,-0.099995
32,1566078277.507866,1566078277.522677,14.810562,-0.100043
33,1566078277.607827,1566078277.622664,14.837027,-0.099961
34,1566078277.707826,1566078277.722731,14.904737,-0.099999
35,1566078277.807827,1566078277.822746,14.919281,-0.100001
36,1566078277.907832,1566078277.922728,14.896154,-0.100005
37,1566078278.007828,1566078278.022683,14.855385,-0.099996
38,1566078278.107829,1566078278.122710,14.881134,-0.100001
39,1566078278.207832,1566078278.222664,14.831781,-0.100003
40,1566078278.307832,1566078278.322766,14.933586,-0.100000
41,1566078278.407822,1566078278.422711,14.889002,-0.099990
42,1566078278.507906,1566078278.522766,14.859915,-0.100084
43,1566078278.607847,1566078278.622740,14.893055,-0.099941
44,1566078278.707824,1566078278.722700,14.875889,-0.099977
45,1566078278.807914,1566078278.822830,14.915705,-0.100090
46,1566078278.907832,1566078278.922760,14.927626,-0.099918
47,1566078279.007829,1566078279.022782,14.952898,-0.099997
48,1566078279.107832,1566078279.122809,14.976978,-0.100003
49,1566078279.207834,1566078279.222740,14.905930,-0.100001
50,1566078279.307823,1566078279.322734,14.911175,-0.099989
51,1566078279.407830,1566078279.422690,14.859676,-0.100007
52,1566078279.507834,1566078279.522749,14.914751,-0.100004
53,1566078279.607829,1566078279.622707,14.877796,-0.099995
54,1566078279.707831,1566078279.722720,14.889240,-0.100002
55,1566078279.807851,1566078279.822945,15.094519,-0.100020
56,1566078279.907825,1566078279.922700,14.874935,-0.099974
57,1566078280.007828,1566078280.022790,14.962435,-0.100003
58,1566078280.107836,1566078280.122766,14.930010,-0.100008
59,1566078280.207824,1566078280.222706,14.881372,-0.099988
60,1566078280.307825,1566078280.322672,14.846802,-0.100001
61,1566078280.407828,1566078280.422793,14.964342,-0.100003
62,1566078280.507835,1566078280.522731,14.895678,-0.100007
63,1566078280.607882,1566078280.622702,14.819860,-0.100047
64,1566078280.707831,1566078280.722716,14.885187,-0.099949
65,1566078280.807827,1566078280.822747,14.919519,-0.099996
66,1566078280.907826,1566078280.922708,14.882326,-0.099999
67,1566078281.007828,1566078281.022718,14.889956,-0.100002
68,1566078281.107825,1566078281.122704,14.879227,-0.099997
69,1566078281.207839,1566078281.222765,14.926434,-0.100014
70,1566078281.307897,1566078281.322772,14.874697,-0.100058
71,1566078281.407828,1566078281.422731,14.903069,-0.099931
72,1566078281.507824,1566078281.522695,14.871120,-0.099996
73,1566078281.607835,1566078281.622699,14.863968,-0.100011
74,1566078281.707830,1566078281.722697,14.867067,-0.099996
75,1566078281.807825,1566078281.822751,14.925957,-0.099995
76,1566078281.907830,1566078281.922715,14.884949,-0.100005
77,1566078282.007820,1566078282.022703,14.882803,-0.099990
78,1566078282.107839,1566078282.122731,14.892817,-0.100019
79,1566078282.207824,1566078282.222747,14.923096,-0.099985
80,1566078282.307835,1566078282.322730,14.894962,-0.100012
81,1566078282.407879,1566078282.422889,15.009403,-0.100044
82,1566078282.507862,1566078282.522959,15.097141,-0.099983
