S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
0,1566078274.323471,1566078274.341049,17.578602,0.000000
1,1566078274.422659,1566078274.440310,17.650604,-0.099189
2,1566078274.522576,1566078274.540630,18.053532,-0.099917
3,1566078274.622568,1566078274.640220,17.652512,-0.099992
4,1566078274.722630,1566078274.740649,18.018961,-0.100062
5,1566078274.822645,1566078274.841031,18.385410,-0.100016
6,1566078274.922580,1566078274.940981,18.401623,-0.099934
7,1566078275.022628,1566078275.040988,18.360138,-0.100049
8,1566078275.122570,1566078275.140956,18.385649,-0.099942
9,1566078275.222591,1566078275.241008,18.416882,-0.100021
10,1566078275.322646,1566078275.341031,18.384457,-0.100055
11,1566078275.422688,1566078275.441093,18.405676,-0.100042
12,1566078275.522614,1566078275.541008,18.394232,-0.099926
13,1566078275.622567,1566078275.640958,18.391609,-0.099953
14,1566078275.722677,1566078275.741062,18.385410,-0.100110
15,1566078275.822636,1566078275.841063,18.427134,-0.099959
16,1566078275.922577,1566078275.940963,18.385649,-0.099941
17,1566078276.022788,1566078276.041142,18.354893,-0.100211
18,1566078276.122638,1566078276.141024,18.385887,-0.099850
19,1566078276.222679,1566078276.241082,18.402576,-0.100041
20,1566078276.322727,1566078276.341199,18.472195,-0.100048
21,1566078276.422706,1566078276.441130,18.423796,-0.099979
22,1566078276.522630,1566078276.541021,18.391132,-0.099924
23,1566078276.622602,1566078276.641041,18.438339,-0.099972
24,1566078276.722638,1566078276.741043,18.404961,-0.100035
25,1566078276.822566,1566078276.840940,18.374681,-0.099928
26,1566078276.922637,1566078276.941019,18.382072,-0.100071
27,1566078277.022763,1566078277.041135,18.371820,-0.100126
28,1566078277.122608,1566078277.141000,18.392086,-0.099845
29,1566078277.222587,1566078277.241047,18.459558,-0.099979
30,1566078277.322798,1566078277.341162,18.363953,-0.100211
31,1566078277.422676,1566078277.441203,18.526793,-0.099878
32,1566078277.522711,1566078277.541115,18.403292,-0.100035
33,1566078277.622630,1566078277.641015,18.384457,-0.099919
34,1566078277.722698,1566078277.740857,18.158197,-0.100068
35,1566078277.822701,1566078277.840369,17.668009,-0.100002
36,1566078277.922692,1566078277.940820,18.128157,-0.099992
37,1566078278.022652,1566078278.040325,17.673016,-0.099960
38,1566078278.122675,1566078278.140937,18.262148,-0.100024
39,1566078278.222631,1566078278.240283,17.652035,-0.099956
40,1566078278.322731,1566078278.340825,18.093348,-0.100100
41,1566078278.422747,1566078278.440444,17.697334,-0.100015
42,1566078278.522732,1566078278.540393,17.660618,-0.099986
43,1566078278.622706,1566078278.640796,18.089533,-0.099974
44,1566078278.722739,1566078278.740425,17.686129,-0.100032
