Sequencer Count,Start_Time(in sec),End_Time(in sec),Execution Time(in msec),Jitter(in msec)
0,1566078274.307776,1566078274.307840,0.063181,0.000000
1,1566078274.407774,1566078274.407842,0.067949,-0.099998
2,1566078274.507719,1566078274.507785,0.066042,-0.099945
3,1566078274.607718,1566078274.607782,0.063419,-0.099999
4,1566078274.707773,1566078274.707840,0.066996,-0.100055
5,1566078274.807771,1566078274.807835,0.063658,-0.099998
6,1566078274.907723,1566078274.907793,0.070333,-0.099952
7,1566078275.007776,1566078275.007838,0.062227,-0.100053
8,1566078275.107721,1566078275.107787,0.066757,-0.099945
9,1566078275.207730,1566078275.207799,0.069141,-0.100010
10,1566078275.307715,1566078275.307781,0.066280,-0.099984
11,1566078275.407712,1566078275.407789,0.077009,-0.099997
12,1566078275.507776,1566078275.507836,0.060797,-0.100064
13,1566078275.607716,1566078275.607786,0.070333,-0.099941
14,1566078275.707713,1566078275.707781,0.068188,-0.099997
15,1566078275.807786,1566078275.807845,0.059128,-0.100073
16,1566078275.907718,1566078275.907786,0.067949,-0.099932
17,1566078276.007778,1566078276.007849,0.070572,-0.100061
18,1566078276.107782,1566078276.107845,0.063419,-0.100003
19,1566078276.207719,1566078276.207791,0.071764,-0.099937
20,1566078276.307711,1566078276.307775,0.064373,-0.099992
21,1566078276.407714,1566078276.407782,0.068665,-0.100003
22,1566078276.507774,1566078276.507839,0.064611,-0.100060
23,1566078276.607728,1566078276.607796,0.067472,-0.099954
24,1566078276.707717,1566078276.707783,0.066280,-0.099989
25,1566078276.807720,1566078276.807792,0.071764,-0.100003
26,1566078276.907716,1566078276.907784,0.067234,-0.099996
27,1566078277.007715,1566078277.007781,0.066757,-0.099998
28,1566078277.107777,1566078277.107839,0.061989,-0.100062
29,1566078277.207719,1566078277.207791,0.072002,-0.099942
30,1566078277.307715,1566078277.307782,0.067711,-0.099996
31,1566078277.407711,1566078277.407778,0.067234,-0.099996
32,1566078277.507769,1566078277.507832,0.062704,-0.100058
33,1566078277.607715,1566078277.607785,0.070572,-0.099946
34,1566078277.707712,1566078277.707781,0.069380,-0.099997
35,1566078277.807711,1566078277.807780,0.068665,-0.099999
36,1566078277.907713,1566078277.907783,0.070095,-0.100002
37,1566078278.007711,1566078278.007784,0.072956,-0.099998
38,1566078278.107712,1566078278.107782,0.070333,-0.100000
39,1566078278.207717,1566078278.207789,0.071287,-0.100006
40,1566078278.307714,1566078278.307789,0.074625,-0.099997
41,1566078278.407712,1566078278.407780,0.068903,-0.099997
42,1566078278.507781,1566078278.507862,0.081301,-0.100069
43,1566078278.607718,1566078278.607800,0.082254,-0.099937
44,1566078278.707712,1566078278.707781,0.069380,-0.099994
45,1566078278.807739,1566078278.807854,0.114441,-0.100028
46,1566078278.907715,1566078278.907787,0.072002,-0.099975
47,1566078279.007717,1566078279.007785,0.067949,-0.100002
48,1566078279.107713,1566078279.107788,0.074863,-0.099996
49,1566078279.207714,1566078279.207788,0.074148,-0.100001
50,1566078279.307714,1566078279.307779,0.065088,-0.100000
51,1566078279.407712,1566078279.407784,0.072002,-0.099998
52,1566078279.507717,1566078279.507789,0.071764,-0.100005
53,1566078279.607716,1566078279.607784,0.067949,-0.099999
54,1566078279.707714,1566078279.707786,0.072002,-0.099998
55,1566078279.807719,1566078279.807804,0.084162,-0.100005
56,1566078279.907712,1566078279.907782,0.069857,-0.099992
57,1566078280.007711,1566078280.007781,0.070333,-0.099999
58,1566078280.107714,1566078280.107791,0.077009,-0.100003
59,1566078280.207713,1566078280.207782,0.069380,-0.099999
60,1566078280.307713,1566078280.307784,0.071049,-0.100000
61,1566078280.407711,1566078280.407784,0.072479,-0.099998
62,1566078280.507721,1566078280.507790,0.069141,-0.100010
63,1566078280.607779,1566078280.607844,0.065088,-0.100058
64,1566078280.707715,1566078280.707786,0.070572,-0.099936
65,1566078280.807713,1566078280.807784,0.070810,-0.099998
66,1566078280.907713,1566078280.907780,0.067472,-0.100000
67,1566078281.007713,1566078281.007783,0.070333,-0.100000
68,1566078281.107711,1566078281.107781,0.070810,-0.099998
69,1566078281.207717,1566078281.207793,0.076294,-0.100006
70,1566078281.307775,1566078281.307852,0.076771,-0.100058
71,1566078281.407712,1566078281.407781,0.068188,-0.099938
72,1566078281.507710,1566078281.507781,0.070333,-0.099998
73,1566078281.607718,1566078281.607789,0.071526,-0.100007
74,1566078281.707718,1566078281.707789,0.071287,-0.100000
75,1566078281.807712,1566078281.807780,0.067949,-0.099994
76,1566078281.907715,1566078281.907784,0.069141,-0.100004
77,1566078282.007712,1566078282.007777,0.064850,-0.099997
78,1566078282.107718,1566078282.107791,0.073195,-0.100006
79,1566078282.207711,1566078282.207780,0.068665,-0.099993
80,1566078282.307718,1566078282.307789,0.071287,-0.100007
81,1566078282.407723,1566078282.407815,0.091553,-0.100005
82,1566078282.507716,1566078282.507804,0.088453,-0.099993
83,1566078282.607716,1566078282.607785,0.068903,-0.100000
84,1566078282.707715,1566078282.707787,0.071526,-0.099999
85,1566078282.807712,1566078282.807782,0.069857,-0.099997
86,1566078282.907719,1566078282.907788,0.068426,-0.100008
